Sample;;well;depth;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h_mean;pw_t1;pw_t2;pw_t3;sw_t1;sw_t2;p_wave;s_wave;dry_mass;subm_mass;sat_mass;bulk_vol;pore_volum;porosity;density
RB;1;TG-27;1.25;25.98;26.86;25.70;26.56;25.46;25.93;26.62;25.28;26.45;26.48;26.132;4.78;4.68;;7.38;7.33;5.52;3.55;50.45;29.35;50.50;21.15;0.05;0.24;2.39
RB;2;TG-27;1.9;44.92;44.93;45.04;44.94;44.78;44.80;44.88;44.92;45.03;44.89;44.913;13.63;13.93;;18.63;18.83;3.26;2.40;52.10;31.81;55.33;23.52;3.23;13.73;2.22
RB;3;TG-27;2.9;44.04;43.49;43.50;42.96;42.76;43.45;43.58;43.44;43.56;43.71;43.449;13.53;12.73;;15.93;15.63;3.31;2.75;35.26;26.50;37.76;11.26;2.50;22.20;3.13
RB;4;TG-27;3.9;47.45;46.67;46.45;46.14;46.52;47.06;47.43;48.79;47.82;47.68;47.201;13.68;13.73;;16.23;16.93;3.44;2.85;54.56;34.03;58.86;24.83;4.30;17.32;2.20
RB;5;TG-27;4.9;45.59;45.43;45.28;45.34;45.30;45.24;45.20;45.25;45.28;45.36;45.327;13.48;12.58;;14.23;14.23;3.48;3.19;56.21;35.50;59.39;23.89;3.18;13.31;2.35
RB;0;TG-27;89.5;46.04;45.92;45.61;45.21;45.32;46.06;45.98;46.02;45.97;44.95;45.708;10.57;10.53;;12.93;13.23;4.33;3.49;61.55;37.05;62.14;25.09;0.59;2.35;2.45
RB;6;TG-27;97.2;66.27;66.45;66.88;66.22;66.24;66.12;66.27;66.20;66.38;66.30;66.333;14.38;14.38;;22.43;21.03;4.61;3.05;51.81;31.66;53.45;21.79;1.64;7.53;2.38
RB;7;TG-27;97.7;48.28;48.54;48.38;48.14;48.00;48.35;48.34;48.31;48.27;48.01;48.262;18.13;16.08;15.39;23.03;20.63;3.07;2.21;28.47;15.29;30.03;14.74;1.56;10.58;1.93
RB;8;TG-27;98.3;39.79;40.02;39.80;39.68;39.82;39.68;39.92;39.88;39.67;39.84;39.81;17.13;15.33;;23.83;24.23;2.45;1.66;29.42;18.39;29.74;11.35;0.32;2.82;2.59
RB;9;TG-27;98.55;47.79;47.75;47.87;47.40;47.54;47.77;47.73;47.07;47.53;47.73;47.618;18.58;14.13;16.08;18.73;17.33;3.15;2.64;27.92;16.25;28.58;12.33;0.66;5.35;2.26
